X;Y;gid;nom;lat_coor1;long_coor1;adr_num;adr_voie;com_cp;com_insee;com_nom;acc;acc_lib;acc_pcsec;acc_acc;acc_etg;acc_complt;photo1;photo2;disp_j;disp_h;disp_complt;tel1;tel2;site_email;date_instal;etat_fonct;fab_siren;fab_rais;mnt_siren;mnt_rais;modele;num_serie;id_euro;lc_ped;dtpr_lcped;dtpr_lcad;dtpr_bat;freq_mnt;dispsurv;dermnt;expt_siren;expt_rais;expt_tel1;expt_tel2;expt_email
1.466537;43.3568623005418;;;43.3568623005418;1.466537;;;;31033;Auterive;Intérieur;non;;;0;À l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GiFi;;;
1.3463345;43.2762447005412;;;43.2762447005413;1.3463345;;;;09167;Lézat-sur-Lèze;Extérieur;;;;;Secrétariat de la marie;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3466004;43.2822452005413;;;43.2822452005413;1.3466004;;;;09167;Lézat-sur-Lèze;Intérieur;non;;;0;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.4202781;43.3715559005419;;;43.3715559005419;1.4202781;;;;31345;Miremont;Intérieur;non;;;;Entree;;;;;Mo-Fr 09:00-19:00;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3023889;43.755174700539;;;43.755174700539;1.3023889;;;;31232;Grenade;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3595331;43.8109816005379;;;43.8109816005379;1.3595331;;;;31118;Castelnau-d'Estrétefonds;Intérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.7585254;43.5291402005418;;;43.5291402005418;1.7585254;;;;31106;Caraman;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.7644496;43.5251068005418;;;43.5251068005418;1.7644496;;;;31106;Caraman;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.0269994;43.440251800542;;;43.440251800542;2.0269994;;;;31451;Revel;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.8186189;43.6894559005401;;;43.6894559005401;1.8186189;;;;81140;Lavaur;Intérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.1587922;43.9336097005347;;;43.9336097005348;2.1587922;;;;81004;Albi;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.7305844;44.0766964005299;;;44.0766964005299;1.7305844;;;;81206;Penne;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.7303926;44.0767400005299;;;44.0767400005299;1.7303926;;;;81206;Penne;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.2113689;43.9492254005343;;;43.9492254005343;2.2113689;;;;81257;Saint-Juéry;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.160896;43.9593546005339;;;43.959354600534;2.160896;;;;81144;Lescure-d'Albigeois;Intérieur;non;;;0;À l'intérieur du magasion Grand Frais;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;Grand Frais;;;
2.3154033;44.100795600529;;;44.100795600529;2.3154033;;;;81292;Tanus;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.5286561;44.2323579005232;;;44.2323579005232;1.5286561;;;;82119;Montalzat;Intérieur;oui;;;0;A l'entrée des WC. À gauche de l'entrée principale;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;Total;;;
1.0981687;44.0625281005304;;;44.0625281005305;1.0981687;;;;82033;Castelsarrasin;Intérieur;non;;;0;À l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GiFi;;;
0.9148093;43.6904818005401;;;43.6904818005401;0.9148093;;;;32448;Touget;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.90985;43.6860611005402;;;43.6860611005402;0.90985;;;;32448;Touget;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0400514;43.69815550054;;;43.69815550054;1.0400514;;;;32120;Encausse;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.08916;43.6104700005411;;;43.6104700005411;1.08916;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;+33 5 62 07 32 50;;;;Inconnu;;;;;;;;;;;;;;;;L'Isle-Jourdain;;;
1.0882469;43.6022211005412;;;43.6022211005412;1.0882469;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.080907;43.6124007005411;;;43.6124007005411;1.080907;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.07444;43.6148413005411;;;43.6148413005411;1.07444;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;08 90 70 85 16;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0816726;43.6157167005411;;;43.6157167005411;1.0816726;;;;32160;L'Isle-Jourdain;Extérieur;;;;;"Maison Départementale de la solidarité; Mur en face de la banque d'accueil public";;;;;;+33 5 31 00 45 00;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0815853;43.6133961005411;;;43.6133961005411;1.0815853;;;;32160;L'Isle-Jourdain;Extérieur;;;;;Accueil;;;;;;+33 5 62 07 32 50;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0820058;43.6130547005411;;;43.6130547005411;1.0820058;;;;32160;L'Isle-Jourdain;Intérieur;oui;;;0;"A l'intérieur du Musée campanaire, à l'entrée.";;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.08903;43.6120400005411;;;43.6120400005411;1.08903;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;+33 5 62 07 33 52;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.08725;43.6094100005411;;;43.6094100005411;1.08725;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;+33 5 62 07 17 00;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.07738;43.6114100005411;;;43.6114100005411;1.07738;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;+33 5 62 07 18 09;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0768886;43.6149644005411;;;43.6149644005411;1.0768886;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0794133;43.6149108005411;;;43.6149108005411;1.0794133;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0788;43.6157400005411;;;43.6157400005411;1.0788;;;;32160;L'Isle-Jourdain;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0700306;43.6023575005412;;;43.6023575005412;1.0700306;;;;32160;L'Isle-Jourdain;Extérieur;;;;;Accueil;;;;;;+33 5 62 07 37 46;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.02274;43.5507700005416;;;43.5507700005416;1.02274;;;;32121;Endoufielle;Extérieur;;;;;;;;;;;+33 5 62 07 90 67;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.906801;43.622807000541;;;43.622807000541;0.906801;;;;32147;Gimont;Extérieur;;;;;situé dans le hall d'accueil près de l'infirmerie et accessible à tout public;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.8787397;43.625075900541;;;43.625075900541;0.8787397;;;;32147;Gimont;Extérieur;;;;;"Maison Départementale de la solidarité; Entrée, mur à gauche";;;;;;+33 5 62 67 92 54;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.4318009;43.8098315005379;;;43.8098315005379;0.4318009;;;;32083;Castéra-Verduzan;Extérieur;;;;;Accueil Base de Loisirs;;;;;;+33 5 62 68 13 11;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.431238;43.804051300538;;;43.8040513005381;0.431238;;;;32083;Castéra-Verduzan;Extérieur;;;;;Accueil du Centre Thermal - rue des Fontaines;;;;;;+33 5 62 68 00 00;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.430436;43.8021777005381;;;43.8021777005381;0.430436;;;;32083;Castéra-Verduzan;Extérieur;;;;;Mur de l'ancienne cantine scolaire;;;;;;+33 5 62 68 13 11;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.5117301;43.7604638005389;;;43.7604638005389;0.5117301;;;;32204;Lavardens;Extérieur;;;;;Entrée Mairie;;;;;;+33 5 62 64 52 03;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.5919873;43.4927005005419;;;43.4927005005419;0.5919873;;;;32426;Seissan;Extérieur;;;;;Sur la facade;;;;;;+33 5 62 66 21 78;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.5787412;43.428934600542;;;43.428934600542;0.5787412;;;;32242;Masseube;Extérieur;;;;;;;;;;;+33 5 62 05 01 01;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.5776315;43.427501200542;;;43.427501200542;0.5776315;;;;32242;Masseube;Extérieur;;;;;Sur chariot d'urgence;;;;;;+33 5 62 59 33 00;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.4133345;43.5086321005419;;;43.5086321005419;0.4133345;;;;32256;Mirande;Extérieur;;;;;Administratif;;;;;;+33 5 62 64 25 25;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.413043;43.5086883005418;;;43.5086883005418;0.413043;;;;32256;Mirande;Extérieur;;;;;Zone technique;;;;;;+33 5 62 64 25 25;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.4024418;43.5162088005418;;;43.5162088005418;0.4024418;;;;32256;Mirande;Extérieur;;;;;"Maison Départementale de la solidarité; Entrée, mur à gauche";;;;;;+33 5 31 00 46 40;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.4038447;43.5167955005418;;;43.5167955005418;0.4038447;;;;32256;Mirande;Extérieur;;;;;Accueil;;;;;;+33 5 62 66 50 05;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.328734;43.5785129005414;;;43.5785129005414;0.328734;;;;32285;Montesquiou;Extérieur;;;;;;;;;;;+33 5 62 05 01 01;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.0766527;43.69782820054;;;43.69782820054;0.0766527;;;;32001;Aignan;Extérieur;;;;;A l'accueil;;;;;;+33562087600;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.2165761;43.7293639005395;;;43.7293639005395;0.2165761;;;;32088;Castillon-Debats;Extérieur;;;;;En facade;;;;;;+33 5 62 06 53 41;;;;Inconnu;;;;;;;;;;;;;;;;;;;
-0.0019332;43.8638445005366;;;43.8638445005367;-0.0019332;;;;32073;Campagne-d'Armagnac;Extérieur;;;;;;;;;;;+33 5 62 09 93 76;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.1356031;43.8820269005362;;;43.8820269005362;0.1356031;;;;32064;Bretagne-d'Armagnac;Extérieur;;;;;;;;;;;+33 5 62 09 93 94;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.0840134;43.9490641005343;;;43.9490641005343;0.0840134;;;;32079;Castelnau d'Auzan Labarrère;Extérieur;;;;;;;;;;;+33 5 62 29 21 69;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.5587897;44.0317444005316;;;44.0317444005316;0.5587897;;;;32396;Saint-Mézard;Extérieur;;;;;;;;;;;+33 5 62 28 88 89;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.3662887;43.9539801005341;;;43.9539801005341;0.3662887;;;;32107;Condom;Extérieur;;;;;Acceuil;;;;;;+33 5 62 68 33 50;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.3698493;43.9496793005343;;;43.9496793005343;0.3698493;;;;32107;Condom;Intérieur;non;;;0;À l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GiFi;;;
0.3702814;43.9559670005341;;;43.9559670005341;0.3702814;;;;32107;Condom;Extérieur;;;;;"Maison Départementale de la solidarité; Hall d'entrée mur a gauche à coté de l'ascenseur";;;;;;+33 5 62 68 31 00;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.3745143;43.9563399005341;;;43.9563399005341;0.3745143;;;;32107;Condom;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.3721088;43.958347500534;;;43.958347500534;0.3721088;;;;32107;Condom;Extérieur;;;;;Accueil;;;;;;+33 5 62 28 12 33;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.3786341;43.9600649005339;;;43.960064900534;0.3786341;;;;32107;Condom;Extérieur;;;;;;;;;;;+33 5 62 68 36 36;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.1826603;44.4849826005092;;;44.4849826005092;0.1826603;;;;47157;Marmande;Intérieur;non;;;0;À l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GiFi;;;
0.5412835;44.6142266005004;;;44.6142266005004;0.5412835;;;;47299;Sérignac-Péboudou;Extérieur;oui;;;;À droite de l'entrée de la salle communale;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.5350234;44.549016200505;;;44.549016200505;0.5350234;;;;47170;Monbahus;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.3980827;44.2506940005223;;;44.2506940005223;0.3980827;;;;47210;Port-Sainte-Marie;Extérieur;oui;;;;Sous l'arcade;;;7j/7;24h/24;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.5087971;44.2881762005204;;;44.2881762005205;0.5087971;;;;47213;Prayssas;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.670821;44.4036135005141;13807;;44.4036135005141;0.670821;;;;47027;Bias;Intérieur;oui;oui;oui;0;a l entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GIFI Bias;;;
0.5907545;44.6542334004975;;;44.6542334004976;0.5907545;;;;47057;Castillonnès;Extérieur;oui;;;;À droite de l'entrée de la mairie;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.5936332;44.6430458004984;;;44.6430458004984;0.5936332;;;;47057;Castillonnès;Intérieur;;;;;Sur la gauche à la sortie des caisses du supermarché;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0127531;44.9363788004742;;;44.9363788004742;1.0127531;;;;24172;Les Eyzies;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.9748208;45.0515341004632;;;45.0515341004632;0.9748208;;;;24356;Rouffignac-Saint-Cernin-de-Reilhac;Intérieur;oui;;;0;"En rentant, à droite sur le mur";;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;Communauté de commune Vallée de l'Homme;;;
0.975387;45.0464781004637;;;45.0464781004638;0.975387;;;;24356;Rouffignac-Saint-Cernin-de-Reilhac;Extérieur;oui;;;0;"Maison de santé rurale
Extérieur, sur le mur de droite de la porte entrée";;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;MAirie de Rouffignac;;;
1.1698832;45.0580518004626;;;45.0580518004626;1.1698832;;;;24291;Montignac-Lascaux;Intérieur;non;;;0;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.403691;44.9173748004759;;;44.9173748004759;0.403691;;;;24246;Lunas;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.2899186;45.0789341004605;;;45.0789341004605;0.2899186;;;;24465;Saint-Michel-de-Double;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.4467242;45.1727071004508;;;45.1727071004508;0.4467242;;;;24104;Chantérac;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.3965375;45.1632712004518;;;45.1632712004518;0.3965375;;;;24509;Saint-Vincent-de-Connezac;Extérieur;oui;non;non;;"sous le porche de la mairie, entrée principale";;;7j/7;24h/24;;;;;;Inconnu;;;;;;;;;;;;;;;;Commune de Saint Vincent de Connezac;;;
0.5871859;45.3219418004343;;;45.3219418004343;0.5871859;;;;24055;Bourdeilles;Intérieur;;;;0;Accueil du château;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.0659709;45.8527542003647;;;45.8527542003647;0.0659709;;;;16008;Ambérac;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.5540999;45.7078954003853;;;45.7078954003854;0.5540999;;;;16290;Rouzède;Extérieur;oui;;;0;"Dae situé à droite de la mairie, sous 1 appenti à proximité de la boîte aux lettres de la mairie";;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.7386115;45.8817136003604;;;45.8817136003604;0.7386115;;;;16070;Chabanais;Intérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.8098944;45.7589718003782;;;45.7589718003782;0.8098944;;;;87199;Vayres;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.0047253;45.5569693004055;;;45.5569693004056;1.0047253;;;;24133;La Coquille;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.1385497;45.3917496004261;;;45.3917496004261;1.1385497;;;;24227;Lanouaille;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.9202433;45.4144860004234;;;45.4144860004234;0.9202433;;;;24551;Thiviers;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.7527214;45.3225723004342;;;45.3225723004342;0.7527214;;;;24064;Brantôme en Périgord;Extérieur;oui;;;;;;;7j/7;24h/24;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.6491294;45.3617820004297;;;45.3617820004297;0.6491294;;;;24064;Brantôme en Périgord;Extérieur;;;;;sur le mur gauche porte entrée;;;7j/7;24h/24;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.7128123;45.1797987004501;;;45.1797987004501;0.7128123;;;;24322;Périgueux;Intérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.7617807;45.1848012004495;;;45.1848012004495;0.7617807;;;;24053;Boulazac Isle Manoire;Intérieur;oui;;;;À l'entrée du magasin;;;;;"Mo-Tu 10:00-12:30, 14:00-19:00; We 10:00-19:00; Th-Fr 10:00-12:30, 14:00-19:00; Sa 10:00-19:00";;;;;Inconnu;;;;;;;;;;;;;;;;Besson Chaussures;;;
1.3443477;45.3551691004304;;;45.3551691004305;1.3443477;;;;19059;Concèze;Intérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.4379591;45.5521355004062;;;45.5521355004062;1.4379591;;;;87095;Meuzac;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.312639;45.7326389003819;;;45.7326389003819;1.312639;;;;87151;Saint-Jean-Ligoure;Intérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.2744275;45.7551868003788;;;45.7551868003788;1.2744275;;;;87192;Solignac;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3282071;45.8767206003612;;;45.8767206003612;1.3282071;;;;87113;Le Palais-sur-Vienne;Intérieur;;;;;Dans le hall d'entrée de la salle Simone Signoret;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3239866;45.8650096003629;;;45.8650096003629;1.3239866;;;;87113;Le Palais-sur-Vienne;Intérieur;;;;;Entrée de la pharmacie;;;;;"Mo-Fr 09:00-12:15, 14:00-19:15; Sa 09:00-12:15, 14:00-17:00";;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3227915;45.8661710003627;;;45.8661710003627;1.3227915;;;;87113;Le Palais-sur-Vienne;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3055706;45.8522163003648;;;45.8522163003648;1.3055706;;;;87113;Le Palais-sur-Vienne;Intérieur;;;;;Dans le hall d'accueil;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3989665;45.8864161003597;;;45.8864161003598;1.3989665;;;;87178;Saint-Priest-Taurion;Extérieur;;;;;;;;7j/7;24h/24;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.7884461;45.474444100416;;;45.474444100416;1.7884461;;;;19122;Madranges;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.2175109;44.9340553004744;;;44.9340553004744;2.2175109;;;;15189;Saint-Gérons;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.2543162;44.7795190004878;;;44.7795190004878;2.2543162;;;;15021;Boisset;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.3010148;44.740240700491;;;44.740240700491;2.3010148;;;;15104;Leynhac;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.8305042;44.7402692004909;;;44.7402692004909;1.8305042;;;;46318;Thémines;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
